,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11,teams_sorted_key,match_stage
116.0,2576.0,2007-04-19,"kensington oval, bridgetown",barbados,west indies,bangladesh,1.0,field,0.0,CH Gayle,Javed Omar,DS Smith,Tamim Iqbal,S Chanderpaul,Aftab Ahmed,MN Samuels,Shakib Al Hasan,RR Sarwan,Mohammad Ashraful,BC Lara,Habibul Bashar,DJ Bravo,Mushfiqur Rahim,D Ramdin,Mashrafe Mortaza,DBL Powell,Mohammad Rafique,CD Collymore,Abdur Razzak,JE Taylor,Syed Rasel,bangladesh||west indies,super_eight
117.0,2577.0,2007-04-20,"national cricket stadium, st george's",grenada,australia,new zealand,0.0,bat,0.0,AC Gilchrist,PG Fulton,ML Hayden,SP Fleming,RT Ponting,LRPL Taylor,MJ Clarke,SB Styris,MEK Hussey,CD McMillan,A Symonds,JEC Franklin,SR Watson,BB McCullum,GB Hogg,DL Vettori,NW Bracken,MR Gillespie,SW Tait,MJ Mason,GD McGrath,JS Patel,australia||new zealand,super_eight
118.0,2578.0,2007-04-21,"kensington oval, bridgetown",barbados,west indies,england,1.0,field,1.0,CH Gayle,AJ Strauss,DS Smith,MP Vaughan,BC Lara,RS Bopara,MN Samuels,KP Pietersen,RR Sarwan,PD Collingwood,S Chanderpaul,A Flintoff,DJ Bravo,JWM Dalrymple,D Ramdin,PA Nixon,JE Taylor,LE Plunkett,DBL Powell,SCJ Broad,CD Collymore,JM Anderson,england||west indies,super_eight
119.0,2579.0,2007-04-24,"sabina park, kingston",jamaica,new zealand,sri lanka,1.0,bat,1.0,PG Fulton,WU Tharanga,SP Fleming,ST Jayasuriya,LRPL Taylor,KC Sangakkara,SB Styris,DPMD Jayawardene,JDP Oram,LPC Silva,BB McCullum,TM Dilshan,CD McMillan,RP Arnold,DL Vettori,WPUJC Vaas,JEC Franklin,SL Malinga,SE Bond,M Muralitharan,JS Patel,CRD Fernando,new zealand||sri lanka,semi_final
120.0,2580.0,2007-04-25,"beausejour stadium, gros islet",st lucia,australia,south africa,1.0,bat,0.0,AC Gilchrist,GC Smith,ML Hayden,AB de Villiers,RT Ponting,JH Kallis,MJ Clarke,HH Gibbs,A Symonds,AG Prince,MEK Hussey,MV Boucher,SR Watson,JM Kemp,GB Hogg,AJ Hall,NW Bracken,SM Pollock,SW Tait,A Nel,GD McGrath,CK Langeveldt,australia||south africa,semi_final
121.0,2581.0,2007-04-28,"kensington oval, bridgetown",barbados,australia,sri lanka,0.0,bat,0.0,AC Gilchrist,WU Tharanga,ML Hayden,ST Jayasuriya,RT Ponting,KC Sangakkara,A Symonds,DPMD Jayawardene,SR Watson,LPC Silva,MJ Clarke,TM Dilshan,MEK Hussey,RP Arnold,GB Hogg,WPUJC Vaas,NW Bracken,SL Malinga,SW Tait,CRD Fernando,GD McGrath,M Muralitharan,australia||sri lanka,final
122.0,3100.0,2011-02-19,shere bangla national stadium,mirpur,bangladesh,india,0.0,field,1.0,Tamim Iqbal,V Sehwag,Imrul Kayes,SR Tendulkar,Junaid Siddique,G Gambhir,Shakib Al Hasan,V Kohli,Mushfiqur Rahim,YK Pathan,Raqibul Hasan,Yuvraj Singh,Mahmudullah,MS Dhoni,Naeem Islam,Harbhajan Singh,Abdur Razzak,Z Khan,Shafiul Islam,S Sreesanth,Rubel Hossain,MM Patel,bangladesh||india,group
123.0,3101.0,2011-02-20,"ma chidambaram stadium, chepauk",chennai,kenya,new zealand,0.0,bat,1.0,AA Obanda,MJ Guptill,SR Waters,BB McCullum,CO Obuya,JD Ryder,SO Tikolo,LRPL Taylor,MA Ouma,JEC Franklin,RR Patel,SB Styris,JK Kamande,DL Vettori,TM Odoyo,NL McCullum,NN Odhiambo,JDP Oram,SO Ngoche,TG Southee,E Otieno,HK Bennett,kenya||new zealand,group
124.0,3102.0,2011-02-20,"mahinda rajapaksa international cricket stadium, sooriyawewa",hambantota,sri lanka,canada,0.0,bat,0.0,WU Tharanga,R Gunasekera,TM Dilshan,JM Davison,KC Sangakkara,ZE Surkari,DPMD Jayawardene,AS Hansra,NLTC Perera,A Bagai,AD Mathews,Rizwan Cheema,CK Kapugedera,TG Gordon,TT Samaraweera,Khurram Chohan,KMDN Kulasekara,HS Baidwan,M Muralitharan,WD Balaji Rao,BAW Mendis,H Osinde,canada||sri lanka,group
125.0,3103.0,2011-02-21,"sardar patel stadium, motera",ahmedabad,australia,zimbabwe,0.0,bat,0.0,SR Watson,BRM Taylor,BJ Haddin,CK Coventry,RT Ponting,T Taibu,MJ Clarke,CR Ervine,CL White,E Chigumbura,DJ Hussey,SC Williams,SPD Smith,RW Chakabva,MG Johnson,P Utseya,SW Tait,AG Cremer,JJ Krejza,RW Price,B Lee,CB Mpofu,australia||zimbabwe,group
126.0,3104.0,2011-02-22,"vidarbha cricket association stadium, jamtha",nagpur,england,netherlands,1.0,bat,0.0,AJ Strauss,AN Kervezee,KP Pietersen,W Barresi,IJL Trott,TLW Cooper,IR Bell,RN ten Doeschate,PD Collingwood,B Zuiderent,RS Bopara,TN de Grooth,MJ Prior,PW Borren,TT Bresnan,Mudassar Bukhari,SCJ Broad,PM Seelaar,GP Swann,BP Loots,JM Anderson,BA Westdijk,england||netherlands,group
127.0,3105.0,2011-02-23,"mahinda rajapaksa international cricket stadium, sooriyawewa",hambantota,kenya,pakistan,1.0,bat,1.0,MA Ouma,Mohammad Hafeez,SR Waters,Ahmed Shehzad,CO Obuya,Kamran Akmal,SO Tikolo,Younis Khan,T Mishra,Misbah-ul-Haq,RR Patel,Umar Akmal,JK Kamande,Shahid Afridi,TM Odoyo,Abdul Razzaq,NN Odhiambo,Abdur Rehman,SO Ngoche,Umar Gul,E Otieno,Shoaib Akhtar,kenya||pakistan,group
128.0,3106.0,2011-02-24,feroz shah kotla,delhi,south africa,west indies,0.0,field,0.0,HM Amla,CH Gayle,GC Smith,DS Smith,JH Kallis,DM Bravo,AB de Villiers,RR Sarwan,JP Duminy,S Chanderpaul,F du Plessis,DJ Bravo,J Botha,DC Thomas,RJ Peterson,KA Pollard,M Morkel,DJG Sammy,DW Steyn,SJ Benn,Imran Tahir,KAJ Roach,south africa||west indies,group
129.0,3107.0,2011-02-25,"vidarbha cricket association stadium, jamtha",nagpur,australia,new zealand,0.0,field,0.0,SR Watson,MJ Guptill,BJ Haddin,BB McCullum,RT Ponting,JD Ryder,MJ Clarke,LRPL Taylor,CL White,JEC Franklin,DJ Hussey,SB Styris,SPD Smith,JM How,MG Johnson,NL McCullum,JJ Krejza,DL Vettori,B Lee,TG Southee,SW Tait,HK Bennett,australia||new zealand,group
130.0,3108.0,2011-02-25,shere bangla national stadium,mirpur,bangladesh,ireland,0.0,bat,0.0,Tamim Iqbal,WTS Porterfield,Imrul Kayes,PR Stirling,Junaid Siddique,EC Joyce,Mushfiqur Rahim,NJ O'Brien,Shakib Al Hasan,AR White,Raqibul Hasan,KJ O'Brien,Mohammad Ashraful,AC Botha,Naeem Islam,JF Mooney,Shafiul Islam,DT Johnston,Abdur Razzak,GH Dockrell,Rubel Hossain,WB Rankin,bangladesh||ireland,group
131.0,3109.0,2011-02-26,r premadasa stadium,colombo,sri lanka,pakistan,1.0,bat,1.0,WU Tharanga,Ahmed Shehzad,TM Dilshan,Mohammad Hafeez,KC Sangakkara,Kamran Akmal,DPMD Jayawardene,Younis Khan,TT Samaraweera,Misbah-ul-Haq,LPC Silva,Umar Akmal,AD Mathews,Shahid Afridi,NLTC Perera,Abdul Razzaq,KMDN Kulasekara,Umar Gul,HMRKB Herath,Abdur Rehman,M Muralitharan,Shoaib Akhtar,pakistan||sri lanka,group
132.0,3112.0,2011-02-28,feroz shah kotla,delhi,netherlands,west indies,0.0,field,1.0,AN Kervezee,DS Smith,W Barresi,CH Gayle,TLW Cooper,DM Bravo,RN ten Doeschate,RR Sarwan,B Zuiderent,KA Pollard,TN de Grooth,DJG Sammy,PW Borren,S Chanderpaul,Mudassar Bukhari,DC Thomas,PM Seelaar,NO Miller,BP Loots,SJ Benn,BA Westdijk,KAJ Roach,netherlands||west indies,group
133.0,3111.0,2011-02-28,"vidarbha cricket association stadium, jamtha",nagpur,canada,zimbabwe,1.0,bat,1.0,JM Davison,BRM Taylor,NR Kumar,CK Coventry,R Gunasekera,T Taibu,A Bagai,CR Ervine,AS Hansra,E Chigumbura,Rizwan Cheema,SC Williams,ZE Surkari,GA Lamb,TG Gordon,P Utseya,Khurram Chohan,AG Cremer,HS Baidwan,RW Price,WD Balaji Rao,CB Mpofu,canada||zimbabwe,group
134.0,3113.0,2011-03-01,r premadasa stadium,colombo,sri lanka,kenya,1.0,bat,0.0,WU Tharanga,MA Ouma,TM Dilshan,SR Waters,KC Sangakkara,CO Obuya,DPMD Jayawardene,DO Obuya,TT Samaraweera,SO Tikolo,LPC Silva,T Mishra,AD Mathews,JK Kamande,KMDN Kulasekara,NN Odhiambo,M Muralitharan,PJ Ongondo,SL Malinga,SO Ngoche,BAW Mendis,E Otieno,kenya||sri lanka,group
135.0,3114.0,2011-03-02,m chinnaswamy stadium,bangalore,england,ireland,0.0,bat,1.0,AJ Strauss,WTS Porterfield,KP Pietersen,PR Stirling,IJL Trott,EC Joyce,IR Bell,NJ O'Brien,PD Collingwood,GC Wilson,MJ Prior,KJ O'Brien,TT Bresnan,AR Cusack,MH Yardy,JF Mooney,GP Swann,DT Johnston,SCJ Broad,GH Dockrell,JM Anderson,WB Rankin,england||ireland,group
136.0,3115.0,2011-03-03,"punjab cricket association stadium, mohali",chandigarh,netherlands,south africa,0.0,field,1.0,AN Kervezee,HM Amla,W Barresi,GC Smith,TLW Cooper,JH Kallis,B Zuiderent,AB de Villiers,RN ten Doeschate,F du Plessis,TN de Grooth,JP Duminy,PW Borren,MN van Wyk,Mudassar Bukhari,RJ Peterson,PM Seelaar,M Morkel,BP Loots,DW Steyn,BA Westdijk,Imran Tahir,netherlands||south africa,group
137.0,3116.0,2011-03-03,r premadasa stadium,colombo,canada,pakistan,1.0,bat,1.0,R Gunasekera,Mohammad Hafeez,NR Kumar,Ahmed Shehzad,ZE Surkari,Kamran Akmal,A Bagai,Younis Khan,AS Hansra,Misbah-ul-Haq,Rizwan Cheema,Umar Akmal,TG Gordon,Shahid Afridi,HS Baidwan,Abdul Razzaq,Khurram Chohan,Umar Gul,WD Balaji Rao,Wahab Riaz,H Osinde,Saeed Ajmal,canada||pakistan,group
138.0,3117.0,2011-03-04,"sardar patel stadium, motera",ahmedabad,new zealand,zimbabwe,1.0,bat,0.0,MJ Guptill,BRM Taylor,BB McCullum,CK Coventry,JD Ryder,T Taibu,LRPL Taylor,CR Ervine,JEC Franklin,E Chigumbura,SB Styris,RW Chakabva,NL McCullum,GA Lamb,DL Vettori,P Utseya,KD Mills,AG Cremer,TG Southee,RW Price,HK Bennett,T Panyangara,new zealand||zimbabwe,group
139.0,3118.0,2011-03-04,shere bangla national stadium,mirpur,bangladesh,west indies,0.0,bat,1.0,Tamim Iqbal,DS Smith,Imrul Kayes,CH Gayle,Junaid Siddique,DM Bravo,Mushfiqur Rahim,RR Sarwan,Shakib Al Hasan,S Chanderpaul,Raqibul Hasan,KA Pollard,Mohammad Ashraful,DC Thomas,Naeem Islam,DJG Sammy,Shafiul Islam,NO Miller,Abdur Razzak,SJ Benn,Rubel Hossain,KAJ Roach,bangladesh||west indies,group
140.0,3121.0,2011-03-06,m chinnaswamy stadium,bangalore,india,ireland,0.0,field,0.0,V Sehwag,WTS Porterfield,SR Tendulkar,PR Stirling,G Gambhir,EC Joyce,V Kohli,NJ O'Brien,Yuvraj Singh,AR White,MS Dhoni,KJ O'Brien,YK Pathan,AR Cusack,Harbhajan Singh,JF Mooney,PP Chawla,DT Johnston,Z Khan,GH Dockrell,MM Patel,WB Rankin,india||ireland,group
141.0,3120.0,2011-03-06,"ma chidambaram stadium, chepauk",chennai,england,south africa,0.0,bat,0.0,AJ Strauss,HM Amla,KP Pietersen,GC Smith,IJL Trott,JH Kallis,IR Bell,AB de Villiers,RS Bopara,F du Plessis,MJ Prior,JP Duminy,MH Yardy,MN van Wyk,TT Bresnan,RJ Peterson,GP Swann,DW Steyn,SCJ Broad,M Morkel,JM Anderson,Imran Tahir,england||south africa,group
142.0,3122.0,2011-03-07,feroz shah kotla,delhi,canada,kenya,1.0,bat,0.0,R Gunasekera,MA Ouma,Rizwan Cheema,SR Waters,ZE Surkari,CO Obuya,A Bagai,DO Obuya,AS Hansra,SO Tikolo,TG Gordon,T Mishra,JM Davison,JK Kamande,HS Baidwan,TM Odoyo,PA Desai,NN Odhiambo,H Osinde,E Otieno,WD Balaji Rao,JO Ngoche,canada||kenya,group
143.0,3124.0,2011-03-09,feroz shah kotla,delhi,india,netherlands,1.0,bat,0.0,V Sehwag,ES Szwarczynski,SR Tendulkar,W Barresi,YK Pathan,TLW Cooper,G Gambhir,RN ten Doeschate,V Kohli,AN Kervezee,Yuvraj Singh,B Zuiderent,MS Dhoni,TN de Grooth,Harbhajan Singh,PW Borren,PP Chawla,BP Kruger,Z Khan,Mudassar Bukhari,A Nehra,PM Seelaar,india||netherlands,group
144.0,3126.0,2011-03-11,"punjab cricket association stadium, mohali",chandigarh,ireland,west indies,0.0,field,1.0,WTS Porterfield,DS Smith,PR Stirling,S Chanderpaul,EC Joyce,DM Bravo,NJ O'Brien,RR Sarwan,GC Wilson,KA Pollard,KJ O'Brien,DJG Sammy,AR Cusack,DC Thomas,JF Mooney,AD Russell,AC Botha,NO Miller,GH Dockrell,SJ Benn,WB Rankin,KAJ Roach,ireland||west indies,group
145.0,3127.0,2011-03-11,zahur ahmed chowdhury stadium,chittagong,bangladesh,england,0.0,field,0.0,Tamim Iqbal,AJ Strauss,Imrul Kayes,MJ Prior,Junaid Siddique,IJL Trott,Raqibul Hasan,IR Bell,Shakib Al Hasan,EJG Morgan,Mushfiqur Rahim,RS Bopara,Mahmudullah,GP Swann,Naeem Islam,PD Collingwood,Abdur Razzak,TT Bresnan,Shafiul Islam,A Shahzad,Rubel Hossain,JM Anderson,bangladesh||england,group
146.0,3128.0,2011-03-12,"vidarbha cricket association stadium, jamtha",nagpur,india,south africa,0.0,bat,1.0,V Sehwag,HM Amla,SR Tendulkar,GC Smith,G Gambhir,JH Kallis,YK Pathan,AB de Villiers,Yuvraj Singh,JP Duminy,MS Dhoni,F du Plessis,V Kohli,MN van Wyk,Harbhajan Singh,J Botha,Z Khan,RJ Peterson,A Nehra,M Morkel,MM Patel,DW Steyn,india||south africa,group
147.0,3129.0,2011-03-13,wankhede stadium,mumbai,canada,new zealand,0.0,field,1.0,R Gunasekera,MJ Guptill,H Patel,BB McCullum,ZE Surkari,JD Ryder,A Bagai,LRPL Taylor,AS Hansra,NL McCullum,Rizwan Cheema,KS Williamson,JM Davison,SB Styris,WD Balaji Rao,JEC Franklin,HS Baidwan,JDP Oram,Khurram Chohan,KD Mills,H Osinde,TG Southee,canada||new zealand,group
148.0,3130.0,2011-03-13,m chinnaswamy stadium,bangalore,australia,kenya,0.0,bat,0.0,SR Watson,MA Ouma,BJ Haddin,AA Obanda,RT Ponting,CO Obuya,MJ Clarke,DO Obuya,CL White,T Mishra,MEK Hussey,TM Odoyo,SPD Smith,RR Patel,MG Johnson,JK Kamande,B Lee,NN Odhiambo,JJ Krejza,E Otieno,SW Tait,JO Ngoche,australia||kenya,group
149.0,3131.0,2011-03-14,zahur ahmed chowdhury stadium,chittagong,bangladesh,netherlands,1.0,bat,0.0,Tamim Iqbal,ES Szwarczynski,Imrul Kayes,W Barresi,Junaid Siddique,Mudassar Bukhari,Shahriar Nafees,TLW Cooper,Shakib Al Hasan,RN ten Doeschate,Mushfiqur Rahim,AN Kervezee,Mahmudullah,TN de Grooth,Suhrawadi Shuvo,AF Buurman,Abdur Razzak,PW Borren,Shafiul Islam,PM Seelaar,Rubel Hossain,Adeel Raja,bangladesh||netherlands,group
150.0,3133.0,2011-03-15,eden gardens,kolkata,ireland,south africa,0.0,field,1.0,WTS Porterfield,HM Amla,PR Stirling,GC Smith,EC Joyce,MN van Wyk,NJ O'Brien,JH Kallis,GC Wilson,JP Duminy,KJ O'Brien,F du Plessis,AR Cusack,CA Ingram,JF Mooney,J Botha,DT Johnston,RJ Peterson,GH Dockrell,M Morkel,WB Rankin,DW Steyn,ireland||south africa,group
151.0,3134.0,2011-03-16,m chinnaswamy stadium,bangalore,australia,canada,1.0,bat,0.0,SR Watson,H Patel,BJ Haddin,JM Davison,RT Ponting,ZE Surkari,MJ Clarke,A Bagai,CL White,AS Hansra,MEK Hussey,Rizwan Cheema,SPD Smith,NR Kumar,MG Johnson,K Whatham,B Lee,HS Baidwan,JJ Krejza,WD Balaji Rao,SW Tait,H Osinde,australia||canada,group
152.0,3135.0,2011-03-17,"ma chidambaram stadium, chepauk",chennai,england,west indies,0.0,bat,0.0,AJ Strauss,DS Smith,MJ Prior,CH Gayle,IJL Trott,DJG Sammy,IR Bell,DM Bravo,EJG Morgan,DC Thomas,RS Bopara,RR Sarwan,LJ Wright,KA Pollard,JC Tredwell,AD Russell,TT Bresnan,SJ Benn,GP Swann,KAJ Roach,CT Tremlett,D Bishoo,england||west indies,group
153.0,3137.0,2011-03-18,wankhede stadium,mumbai,new zealand,sri lanka,1.0,bat,1.0,MJ Guptill,WU Tharanga,BB McCullum,TM Dilshan,JD Ryder,KC Sangakkara,LRPL Taylor,DPMD Jayawardene,KS Williamson,AD Mathews,SB Styris,TT Samaraweera,JEC Franklin,LPC Silva,NL McCullum,KMDN Kulasekara,JDP Oram,SL Malinga,TG Southee,M Muralitharan,HK Bennett,BAW Mendis,new zealand||sri lanka,group
154.0,3136.0,2011-03-18,eden gardens,kolkata,ireland,netherlands,0.0,field,0.0,WTS Porterfield,ES Szwarczynski,PR Stirling,W Barresi,EC Joyce,TLW Cooper,NJ O'Brien,RN ten Doeschate,GC Wilson,AN Kervezee,KJ O'Brien,PW Borren,AR Cusack,AF Buurman,DT Johnston,Mudassar Bukhari,JF Mooney,PM Seelaar,GH Dockrell,Adeel Raja,WB Rankin,BP Loots,ireland||netherlands,group
