batter,balls_faced,avg_residual,actual_rpb,expected_rpb,weight,final_score
SP Fleming,217,-0.03270482362915625,0.6082949308755761,0.6409997545047322,5.37989735354046,-0.1759485940905052
MJ Clarke,401,-0.030196375138389287,0.9825436408977556,1.0127400160361448,5.993961427306569,-0.18099590782398445
A Bagai,376,-0.030555053900736102,0.6303191489361702,0.6608742028369063,5.929589143389895,-0.18117891588549784
DJ Bravo,167,-0.0400797103587476,0.8502994011976048,0.8903791115563524,5.117993812416755,-0.20512770961952595
AL Phehlukwayo,137,-0.043332865162084004,0.7372262773722628,0.7805591425343468,4.919980925828125,-0.21319687005893537
SPD Smith,465,-0.03552329544126089,0.8021505376344086,0.8376738330756696,6.142037405587356,-0.2181854093699552
HH Dippenaar,144,-0.04480177194906606,0.6944444444444444,0.7392462163935105,4.969813299576001,-0.2226564420770395
K Rabada,110,-0.049119959518483663,0.6545454545454545,0.7036654140639382,4.700480365792417,-0.23088740528515078
MP Vaughan,193,-0.04401181109312686,0.48186528497409326,0.5258770960672201,5.262690188904886,-0.23162052643573391
RT Ponting,494,-0.037543790402681354,0.9230769230769231,0.9606207134796044,6.202535517187923,-0.23286669342249017
T Mishra,205,-0.046867655498015776,0.6585365853658537,0.7054042408638694,5.3230099791384085,-0.24947699791475908
GB Murgatroyd,143,-0.05069908067105328,0.6013986013986014,0.6520976820696547,4.962844630259907,-0.25161166026745063
CB Wishart,110,-0.0612572568785974,0.7272727272727273,0.7885299841513247,4.700480365792417,-0.2879385332201495
Yousuf Youhana,195,-0.056935340494251314,0.7846153846153846,0.8415507251096359,5.272999558563747,-0.3002200252928638
IS Billcliff,231,-0.057388349358406886,0.6017316017316018,0.6591199510900085,5.442417710521793,-0.31233136892580565
A Symonds,479,-0.053969735140040755,0.9102296450939458,0.9641993802339864,6.171700597410915,-0.3330850466058984
AG Cremer,117,-0.0704787246158431,0.7264957264957265,0.7969744511115695,4.762173934797756,-0.33563194532335705
D Mongia,156,-0.0677425990921545,0.6602564102564102,0.7279990093485648,5.049856007249537,-0.34209037097221345
CD McMillan,205,-0.06464604487274697,0.8341463414634146,0.8987923863361615,5.3230099791384085,-0.3441115419694615
Towhid Hridoy,154,-0.06894882360952308,0.7467532467532467,0.8157020703627699,5.0369526024136295,-0.34729195651334555
SC Ganguly,466,-0.057987726088035686,0.8240343347639485,0.8820220608519842,6.144185634125646,-0.3562873535857218
